edge_id,scenario,layer,head,relation,tail,source,confidence,review_status,review_priority,suggested_action,evidence,claim_boundary
WaferObject|HAS_ANOMALY|CenterDefect|wafer,wafer,observed_evidence,WaferObject,HAS_ANOMALY,CenterDefect,wm811k_public_pattern_classes,0.86,auto,low,bulk-approve if source registry is accepted,WM811K public classifier/dataset pattern vocabulary includes center.,candidate/plausible explanation only; not a verified root-cause label
WaferObject|HAS_ANOMALY|DonutDefect|wafer,wafer,observed_evidence,WaferObject,HAS_ANOMALY,DonutDefect,wm811k_public_pattern_classes,0.86,auto,low,bulk-approve if source registry is accepted,WM811K public classifier/dataset pattern vocabulary includes donut.,candidate/plausible explanation only; not a verified root-cause label
WaferObject|HAS_ANOMALY|EdgeLocDefect|wafer,wafer,observed_evidence,WaferObject,HAS_ANOMALY,EdgeLocDefect,wm811k_public_pattern_classes,0.86,auto,low,bulk-approve if source registry is accepted,WM811K public classifier/dataset pattern vocabulary includes edge_loc.,candidate/plausible explanation only; not a verified root-cause label
WaferObject|HAS_ANOMALY|EdgeRingDefect|wafer,wafer,observed_evidence,WaferObject,HAS_ANOMALY,EdgeRingDefect,wm811k_public_pattern_classes,0.86,auto,low,bulk-approve if source registry is accepted,WM811K public classifier/dataset pattern vocabulary includes edge_ring.,candidate/plausible explanation only; not a verified root-cause label
WaferObject|HAS_ANOMALY|LocDefect|wafer,wafer,observed_evidence,WaferObject,HAS_ANOMALY,LocDefect,wm811k_public_pattern_classes,0.86,auto,low,bulk-approve if source registry is accepted,WM811K public classifier/dataset pattern vocabulary includes loc.,candidate/plausible explanation only; not a verified root-cause label
WaferObject|HAS_ANOMALY|RandomDefect|wafer,wafer,observed_evidence,WaferObject,HAS_ANOMALY,RandomDefect,wm811k_public_pattern_classes,0.86,auto,low,bulk-approve if source registry is accepted,WM811K public classifier/dataset pattern vocabulary includes random.,candidate/plausible explanation only; not a verified root-cause label
WaferObject|HAS_ANOMALY|WaferScratchDefect|wafer,wafer,observed_evidence,WaferObject,HAS_ANOMALY,WaferScratchDefect,wm811k_public_pattern_classes,0.86,auto,low,bulk-approve if source registry is accepted,WM811K public classifier/dataset pattern vocabulary includes scratch.,candidate/plausible explanation only; not a verified root-cause label
WaferScratchDefect|HAS_MORPHOLOGY|WaferLinearMorphology|wafer,wafer,semantic_constraint,WaferScratchDefect,HAS_MORPHOLOGY,WaferLinearMorphology,wm811k_pattern_semantics,0.82,auto,low,bulk-approve if source registry is accepted,WM811K scratch pattern is represented with Wafer linear morphology.,candidate/plausible explanation only; not a verified root-cause label
WaferScratchDefect|HAS_PLAUSIBLE_CAUSE|HandlingScratch|wafer,wafer,candidate_mechanism,WaferScratchDefect,HAS_PLAUSIBLE_CAUSE,HandlingScratch,wm811k_low_confidence_investigation_rule,0.55,auto,high,review before paper emphasis or keep as low-confidence candidate,"WM811K scratch pattern maps to Handling scratch as a low-confidence candidate investigation path, not verified process RCA.",candidate/plausible explanation only; not a verified root-cause label
WaferScratchDefect|HAS_PLAUSIBLE_CAUSE|WaferTransferMisalignment|wafer,wafer,candidate_mechanism,WaferScratchDefect,HAS_PLAUSIBLE_CAUSE,WaferTransferMisalignment,wafer_factory_sop_private_summary,0.5,auto,high,review before paper emphasis or keep as low-confidence candidate,Private SOP summary snippet: 定位不精确...晶圆表面出现划痕缺陷. WM811K scratch may use Wafer transfer misalignment as a low-confidence investigation target; candidate/plausible explanation only; not a verified root-cause label.,candidate/plausible explanation only; not a verified root-cause label
WaferScratchDefect|HAS_SPATIAL_SIGNATURE|LinearScratchSignature|wafer,wafer,semantic_constraint,WaferScratchDefect,HAS_SPATIAL_SIGNATURE,LinearScratchSignature,wm811k_pattern_semantics,0.84,auto,low,bulk-approve if source registry is accepted,WM811K scratch pattern maps to the Linear scratch signature descriptor; this is observed spatial evidence.,candidate/plausible explanation only; not a verified root-cause label
WaferScratchDefect|OCCURS_ON|WaferSurface|wafer,wafer,semantic_constraint,WaferScratchDefect,OCCURS_ON,WaferSurface,wm811k_pattern_semantics,0.8,auto,low,bulk-approve if source registry is accepted,WM811K scratch pattern is represented at Wafer surface.,candidate/plausible explanation only; not a verified root-cause label
